EQIPMENT_ID	OTHER_ID	MTF_ID		SerNum		Correct_OTHERID	Correct_SerNum
29251		VMM3_1000327	20MNEVMM300291	1000327		VMM3_0000327	327
29252		VMM3_1000330	20MNEVMM300292	1000330		VMM3_0000330	330
29253		VMM3_1000339	20MNEVMM300293	1000339		VMM3_0000339	339
29254		VMM3_1000340	20MNEVMM300294	1000340		VMM3_0000340	340
29255		VMM3_1000341	20MNEVMM300295	1000341		VMM3_0000341	341
29256		VMM3_1000343	20MNEVMM300296	1000343		VMM3_0000343	343
29257		VMM3_1000347	20MNEVMM300297	1000347		VMM3_0000347	347
29258		VMM3_1000348	20MNEVMM300298	1000348		VMM3_0000348	348
29259		VMM3_1000349	20MNEVMM300299	1000349		VMM3_0000349	349
29260		VMM3_1000350	20MNEVMM300300	1000350		VMM3_0000350	350
29261		VMM3_1000351	20MNEVMM300301	1000351		VMM3_0000351	351
29262		VMM3_1000362	20MNEVMM300302	1000362		VMM3_0000362	362
29263		VMM3_1000363	20MNEVMM300303	1000363		VMM3_0000363	363
29264		VMM3_1000364	20MNEVMM300304	1000364		VMM3_0000364	364
29265		VMM3_1000366	20MNEVMM300305	1000366		VMM3_0000366	366
29266		----NULL----	20MNEVMM300306	001110		VMM3_0001110	1110
29267		----NULL----	20MNEVMM300307	000022		VMM3_0000022	22
29268		----NULL----	20MNEVMM300308	000032		VMM3_0000032	32
29269		----NULL----	20MNEVMM300309	000047		VMM3_0000047	47
29270		----NULL----	20MNEVMM300310	000061		VMM3_0000061	61
29271		----NULL----	20MNEVMM300311	000062		VMM3_0000062	62
29272		----NULL----	20MNEVMM300312	000063		VMM3_0000063	63
29273		----NULL----	20MNEVMM300313	000072		VMM3_0000072	72
29274		----NULL----	20MNEVMM300314	000078		VMM3_0000078	78
29275		----NULL----	20MNEVMM300315	000081		VMM3_0000081	81
29276		----NULL----	20MNEVMM300316	000090		VMM3_0000090	90
29277		----NULL----	20MNEVMM300317	000100		VMM3_0000100	100
29278		----NULL----	20MNEVMM300318	000127		VMM3_0000127	127
29279		----NULL----	20MNEVMM300319	000128		VMM3_0000128	128
29280		----NULL----	20MNEVMM300320	000217		VMM3_0000217	217
29281		----NULL----	20MNEVMM300321	000218		VMM3_0000218	218
29282		----NULL----	20MNEVMM300322	000219		VMM3_0000219	219
29283		----NULL----	20MNEVMM300323	000232		VMM3_0000232	232
29284		----NULL----	20MNEVMM300324	000289		VMM3_0000289	289
29285		----NULL----	20MNEVMM300325	000297		VMM3_0000297	297
29286		----NULL----	20MNEVMM300326	000303		VMM3_0000303	303
